"","RK","Name","POS","GP","CMP","ATT","CMP%","YDS","AVG","YDS/G","LNG","TD","INT","SACK","SYL","QBR","RTG","Stat","TeamsLong"
"1",1,"Deshaun Watson","QB",16,382,544,70.2,"4,823",8.9,301.4,77,33,7,49,293,70.5,112.4,"Passing","Houston Texans"
"2",2,"Patrick Mahomes","QB",15,390,588,66.3,"4,740",8.1,316,75,38,6,22,147,82.9,108.2,"Passing","Kansas City Chiefs"
"3",3,"Tom Brady","QB",16,401,610,65.7,"4,633",7.6,289.6,50,40,12,21,143,72.5,102.2,"Passing","Tampa Bay Buccaneers"
"4",4,"Matt Ryan","QB",16,407,626,65,"4,581",7.3,286.3,63,26,11,41,257,67,93.3,"Passing","Atlanta Falcons"
"5",5,"Josh Allen","QB",16,396,572,69.2,"4,544",7.9,284,55,37,10,26,159,81.7,107.2,"Passing","Buffalo Bills"
"6",6,"Justin Herbert","QB",15,396,595,66.6,"4,336",7.3,289.1,72,31,10,32,218,69.5,98.3,"Passing","Los Angeles Chargers"
"7",7,"Aaron Rodgers","QB",16,372,526,70.7,"4,299",8.2,268.7,78,48,5,20,182,84.4,121.5,"Passing","Green Bay Packers"
"8",8,"Kirk Cousins","QB",16,349,516,67.6,"4,265",8.3,266.6,71,35,13,39,256,63.2,105,"Passing","Minnesota Vikings"
"9",9,"Russell Wilson","QB",16,384,558,68.8,"4,212",7.5,263.3,62,40,13,47,301,73.5,105.1,"Passing","Seattle Seahawks"
"10",10,"Philip Rivers","QB",16,369,543,68,"4,169",7.7,260.6,55,24,11,19,118,62.5,97,"Passing","Indianapolis Colts"
"11",11,"Derek Carr","QB",16,348,517,67.3,"4,103",7.9,256.4,85,27,9,26,150,71,101.4,"Passing","Las Vegas Raiders"
"12",12,"Matthew Stafford","QB",16,339,528,64.2,"4,084",7.7,255.3,73,26,10,38,254,68.4,96.3,"Passing","Detroit Lions"
"13",13,"Kyler Murray","QB",16,375,558,67.2,"3,971",7.1,248.2,80,26,12,27,176,68.9,94.3,"Passing","Arizona Cardinals"
"14",14,"Jared Goff","QB",15,370,552,67,"3,952",7.2,263.5,56,20,13,23,161,58.5,90,"Passing","Los Angeles Rams"
"15",15,"Ryan Tannehill","QB",16,315,481,65.5,"3,819",7.9,238.7,75,33,7,24,173,78.3,106.5,"Passing","Tennessee Titans"
"16",16,"Ben Roethlisberger","QB",15,399,608,65.6,"3,803",6.3,253.5,84,33,10,13,118,60.1,94.1,"Passing","Pittsburgh Steelers"
"17",17,"Teddy Bridgewater","QB",15,340,492,69.1,"3,733",7.6,248.9,75,15,11,31,205,64.2,92.1,"Passing","Carolina Panthers"
"18",18,"Baker Mayfield","QB",16,305,486,62.8,"3,563",7.3,222.7,75,26,8,26,162,72.2,95.9,"Passing","Cleveland Browns"
"19",19,"Daniel Jones","QB",14,280,448,62.5,"2,943",6.6,210.2,53,11,10,45,286,61.5,80.4,"Passing","New York Giants"
"20",20,"Drew Brees","QB",12,275,390,70.5,"2,942",7.5,245.2,52,24,6,13,89,74.6,106.4,"Passing","New Orleans Saints"
"21",21,"Drew Lock","QB",13,254,443,57.3,"2,933",6.6,225.6,92,16,15,19,123,48.8,75.4,"Passing","Denver Broncos"
"22",22,"Lamar Jackson","QB",15,242,376,64.4,"2,757",7.3,183.8,47,26,9,29,160,73.7,99.3,"Passing","Baltimore Ravens"
"23",23,"Joe Burrow","QB",10,264,404,65.3,"2,688",6.7,268.8,67,13,5,32,231,56.2,89.8,"Passing","Cincinnati Bengals"
"24",24,"Cam Newton","QB",15,242,368,65.8,"2,657",7.2,177.1,50,8,10,31,195,47,82.9,"Passing","New England Patriots"
"25",25,"Carson Wentz","QB",12,251,437,57.4,"2,620",6,218.3,59,16,15,50,326,49.6,72.8,"Passing","Philadelphia Eagles"
"26",26,"Nick Mullens","QB",10,211,326,64.7,"2,437",7.5,243.7,49,12,12,19,139,43.6,84.1,"Passing","San Francisco 49ers"
"27",27,"Gardner Minshew II","QB",9,216,327,66.1,"2,259",6.9,251,51,16,5,27,147,51.7,95.9,"Passing","Jacksonville Jaguars"
"28",28,"Sam Darnold","QB",12,217,364,59.6,"2,208",6.1,184,69,9,11,35,234,40.1,72.7,"Passing","New York Jets"
"29",29,"Andy Dalton","QB",11,216,333,64.9,"2,169",6.5,197.2,69,14,8,24,183,53.8,87.3,"Passing","Dallas Cowboys"
"30",30,"Ryan Fitzpatrick","QB",9,183,267,68.5,"2,091",7.8,232.3,70,13,8,14,65,76.9,95.6,"Passing","Miami Dolphins"
"31",31,"Mitchell Trubisky","QB",10,199,297,67,"2,055",6.9,205.5,53,16,8,18,125,61.3,93.5,"Passing","Chicago Bears"
"32",32,"Dak Prescott","QB",5,151,222,68,"1,856",8.4,371.2,58,9,4,10,66,78.7,99.6,"Passing","Dallas Cowboys"
"33",33,"Nick Foles","QB",9,202,312,64.7,"1,852",5.9,205.8,50,10,8,18,145,43.3,80.8,"Passing","Chicago Bears"
"34",34,"Tua Tagovailoa","QB",10,186,290,64.1,"1,814",6.3,181.4,35,11,5,20,136,52.5,87.1,"Passing","Miami Dolphins"
"35",35,"Alex Smith","QB",8,168,252,66.7,"1,582",6.3,197.8,68,6,8,22,139,34.8,78.5,"Passing","Washington"
"36",36,"Dwayne Haskins Jr.","QB",7,148,241,61.4,"1,439",6,205.6,50,5,7,20,141,31,73,"Passing","Washington"
"37",37,"Jimmy Garoppolo","QB",6,94,140,67.1,"1,096",7.8,182.7,76,7,5,11,77,61.5,92.4,"Passing","San Francisco 49ers"
"38",38,"Mike Glennon","QB",5,111,179,62,"1,072",6,214.4,46,7,5,9,53,36.7,80.1,"Passing","Jacksonville Jaguars"
"39",39,"Jalen Hurts","QB",15,77,148,52,"1,061",7.2,70.7,81,6,4,13,59,41,77.6,"Passing","Philadelphia Eagles"
"40",40,"Taysom Hill","QB",16,88,121,72.7,"928",7.7,58,44,4,2,14,87,58.8,98.8,"Passing","New Orleans Saints"
"41",41,"Brandon Allen","QB",5,90,142,63.4,"925",6.5,185,72,5,4,7,51,44.9,82,"Passing","Cincinnati Bengals"
"42",42,"Joe Flacco","QB",5,74,134,55.2,"864",6.4,172.8,52,6,3,7,69,58,80.6,"Passing","New York Jets"
"43",43,"C.J. Beathard","QB",6,66,104,63.5,"787",7.6,131.2,49,6,0,9,71,53.7,105.7,"Passing","San Francisco 49ers"
"44",44,"Jake Luton","QB",3,60,110,54.5,"624",5.7,208,73,2,6,7,52,39.9,54.5,"Passing","Jacksonville Jaguars"
"45",45,"Kyle Allen","QB",4,60,87,69,"610",7,152.5,52,4,1,7,44,74.5,99.3,"Passing","Washington"
"46",46,"Jeff Driskel","QB",3,35,64,54.7,"432",6.8,144,45,3,2,11,98,43.4,78.4,"Passing","Denver Broncos"
"47",47,"Colt McCoy","QB",4,40,66,60.6,"375",5.7,93.8,35,1,1,5,24,36.6,75,"Passing","New York Giants"
"48",48,"P.J. Walker","QB",4,32,56,57.1,"368",6.6,92,52,1,5,4,31,12.6,45.8,"Passing","Carolina Panthers"
"49",49,"Mason Rudolph","QB",5,25,43,58.1,"324",7.5,64.8,47,2,1,1,8,78.4,87.7,"Passing","Pittsburgh Steelers"
"50",50,"Brett Rypien","QB",3,27,40,67.5,"295",7.4,98.3,48,2,4,1,0,57.9,66.1,"Passing","Denver Broncos"
