"","Player","Date","OPP","Result","ATT","YDS","AVG","TD","LNG","GameLink"
"2","Derrick HenryTEN","Sun 11/22","@BAL","W30-24 OT","28","133","4.8","1","29","http://www.espn.com/nfl/game/_/gameId/401220150"
"3","Derrick HenryTEN","Thu 11/12","vsIND","L34-17","19","103","5.4","0","20","http://www.espn.com/nfl/game/_/gameId/401220203"
"4","Derrick HenryTEN","Sun 11/8","vsCHI","W24-17","21","68","3.2","0","26","http://www.espn.com/nfl/game/_/gameId/401220207"
"5","Derrick HenryTEN","Sun 11/1","@CIN","L31-20","18","112","6.2","1","21","http://www.espn.com/nfl/game/_/gameId/401220158"
"6","Derrick HenryTEN","Sun 10/25","vsPIT","L27-24","20","75","3.8","1","17","http://www.espn.com/nfl/game/_/gameId/401249063"
"7","Derrick HenryTEN","Sun 10/18","vsHOU","W42-36 OT","22","212","9.6","2","94","http://www.espn.com/nfl/game/_/gameId/401220202"
"8","Derrick HenryTEN","Tue 10/13","vsBUF","W42-16","19","57","3.0","2","12","http://www.espn.com/nfl/game/_/gameId/401220209"
"9","Derrick HenryTEN","Sun 9/27","@MIN","W31-30","26","119","4.6","2","16","http://www.espn.com/nfl/game/_/gameId/401220304"
"10","Derrick HenryTEN","Sun 9/20","vsJAX","W33-30","25","84","3.4","0","14","http://www.espn.com/nfl/game/_/gameId/401220204"
"11","Derrick HenryTEN","Mon 9/14","@DEN","W16-14","31","116","3.7","0","13","http://www.espn.com/nfl/game/_/gameId/401220217"
"21","Dalvin CookMIN","Sun 11/22","vsDAL","L31-28","27","115","4.3","1","16","http://www.espn.com/nfl/game/_/gameId/401220305"
"31","Dalvin CookMIN","Mon 11/16","@CHI","W19-13","30","96","3.2","0","14","http://www.espn.com/nfl/game/_/gameId/401220276"
"41","Dalvin CookMIN","Sun 11/8","vsDET","W34-20","22","206","9.4","2","70","http://www.espn.com/nfl/game/_/gameId/401220299"
"51","Dalvin CookMIN","Sun 11/1","@GB","W28-22","30","163","5.4","3","37","http://www.espn.com/nfl/game/_/gameId/401220292"
"61","Dalvin CookMIN","Sun 10/11","@SEA","L27-26","17","65","3.8","1","10","http://www.espn.com/nfl/game/_/gameId/401220367"
"71","Dalvin CookMIN","Sun 10/4","@HOU","W31-23","27","130","4.8","2","15","http://www.espn.com/nfl/game/_/gameId/401220184"
"81","Dalvin CookMIN","Sun 9/27","vsTEN","L31-30","22","181","8.2","1","39","http://www.espn.com/nfl/game/_/gameId/401220304"
"91","Dalvin CookMIN","Sun 9/20","@IND","L28-11","14","63","4.5","1","16","http://www.espn.com/nfl/game/_/gameId/401220192"
"101","Dalvin CookMIN","Sun 9/13","vsGB","L43-34","12","50","4.2","2","12","http://www.espn.com/nfl/game/_/gameId/401220300"
"22","James RobinsonJAX","Sun 11/22","vsPIT","L27-3","17","73","4.3","0","18","http://www.espn.com/nfl/game/_/gameId/401220198"
"32","James RobinsonJAX","Sun 11/15","@GB","L24-20","23","109","4.7","0","20","http://www.espn.com/nfl/game/_/gameId/401220295"
"42","James RobinsonJAX","Sun 11/8","vsHOU","L27-25","25","99","4.0","1","12","http://www.espn.com/nfl/game/_/gameId/401220194"
"52","James RobinsonJAX","Sun 10/25","@LAC","L39-29","22","119","5.4","1","22","http://www.espn.com/nfl/game/_/gameId/401220241"
"62","James RobinsonJAX","Sun 10/18","vsDET","L34-16","12","29","2.4","0","8","http://www.espn.com/nfl/game/_/gameId/401220200"
"72","James RobinsonJAX","Sun 10/11","@HOU","L30-14","13","48","3.7","0","14","http://www.espn.com/nfl/game/_/gameId/401220179"
"82","James RobinsonJAX","Sun 10/4","@CIN","L33-25","17","75","4.4","0","14","http://www.espn.com/nfl/game/_/gameId/401220157"
"92","James RobinsonJAX","Thu 9/24","vsMIA","L31-13","11","46","4.2","2","11","http://www.espn.com/nfl/game/_/gameId/401220201"
"102","James RobinsonJAX","Sun 9/20","@TEN","L33-30","16","102","6.4","1","39","http://www.espn.com/nfl/game/_/gameId/401220204"
"111","James RobinsonJAX","Sun 9/13","vsIND","W27-20","16","62","3.9","0","12","http://www.espn.com/nfl/game/_/gameId/401220195"
